# id,name,mesonet,lat,lon,elevation,agl,cit,state,country,active
C7959,CW7959 Stornoway                     UK,APRSWXNET,58.248958587646484,-6.176310062408447,30.0,-9999.0,null,null,null,true
AT970,KF2XN Grand Island                NY US,APRSWXNET,43.036170959472656,-78.94803619384766,177.0,-9999.0,null,null,null,true
KFWH1,KII                              HI US,RAWS,21.68829917907715,-157.95249938964844,1.5,-9999.0,null,null,null,true
C7952,CW7952 Harwich                       UK,APRSWXNET,51.92620849609375,1.2642600536346436,3.0,-9999.0,null,null,null,true
C7956,CW7956 Sheffield Lake             OH US,APRSWXNET,41.4900016784668,-82.08734893798828,183.0,-9999.0,null,null,null,true
MCAN3,MASCOMA RIVER AT MASCOMA         NH US       NHDES,HADS2,43.64860916137695,-72.18193817138672,230.10000610351562,-9999.0,null,null,null,true
C6623,CW6623 Los Altos Hills            CA US,APRSWXNET,37.36949920654297,-122.16583251953125,19.0,-9999.0,null,null,null,true
BRNK2,GREEN RIVER AT BROWNSVILLE       KY US  USARMY-COE,HADS2,37.206939697265625,-86.2611083984375,170.6999969482422,-9999.0,null,null,null,true
LWAO2,LITTLE WASHITA #1                OK US SCAN,utmesnet,34.95000076293945,-97.9800033569336,358.1000061035156,-9999.0,null,null,null,true
BBN,BOUNTIFUL BENCH                  UT US KSL,utmesnet,40.88999938964844,-111.8499984741211,1521.0,-9999.0,null,null,null,true
C7955,CW7955 Aberdeen                   NC US,APRSWXNET,35.127830505371094,-79.39949798583984,158.8000030517578,-9999.0,null,null,null,true
BPHEB,Mount Hebo                       OR US,utmesnet,45.21342849731445,-123.75499725341797,966.2000122070312,-9999.0,null,null,null,true
MEGT2,MCGREGOR                         TX US,RAWS,31.383899688720703,-97.41280364990234,193.89999389648438,-9999.0,null,null,null,true
D8607,DW8607 Tyrnava                       FI,APRSWXNET,64.57283020019531,26.094669342041016,87.0,-9999.0,null,null,null,true
AT969,K4LRP Malabar                     FL US,APRSWXNET,28.007150650024414,-80.59893798828125,4.599999904632568,-9999.0,null,null,null,true
AR307,W6KL Burbank                      CA US,APRSWXNET,34.16999816894531,-118.33300018310547,172.1999969482422,-9999.0,null,null,null,true
AT968,VE7ALB Saanich                    BC CA,APRSWXNET,48.47999954223633,-123.37629699707031,61.099998474121094,-9999.0,null,null,null,true
AS638,G4KIV Knaresborough              NYK UK,APRSWXNET,54.00059127807617,-1.454450011253357,51.0,-9999.0,null,null,null,true
